"Municipal and City Level Small Area Poverty Estimates; 2006, 2009 and 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province,,,Municipality/City,,,,,,,Poverty Incidence,,,,,,Coefficient of Variation*,,,,90% Confidence Interval,,,,,,
,,,,,,,,,,,,,,,,,,,,2006,,2009,,2012,,
,,,Floridablanca,,,,,,,8.1,,13.4,,6.8,,20.0,11.6,11.8,,5.4,10.7,10.9,16.0,5.5,8.1,
,,,Guagua,,,,,,,4.1,,7.4,,3.8,,23.9,17.9,16.4,,2.5,5.8,5.3,9.6,2.8,4.9,
,,,Lubao,,,,,,,10.5,,10.6,,5.4,,16.3,13.9,13.2,,7.7,13.3,8.2,13.1,4.2,6.5,
,,,Mabalacat City,,,,,,,7.0,,7.2,,1.9,,33.4,29.5,36.8,,3.2,10.8,3.7,10.6,0.7,3.0,
,,,Macabebe,,,,,,,10.2,,9.2,,4.8,,20.9,20.9,16.6,,6.7,13.7,6.0,12.3,3.5,6.1,
,,,Magalang,,,,,,,10.8,,8.1,,5.0,,18.8,23.4,15.9,,7.5,14.2,5.0,11.2,3.7,6.3,
,,,Masantol,,,,,,,14.9,,9.1,,8.1,,16.8,24.0,15.9,,10.8,19.0,5.5,12.7,6.0,10.2,
,,,Mexico,,,,,,,7.4,,7.7,,3.9,,21.4,18.5,16.3,,4.8,10.0,5.4,10.1,2.9,5.0,
,,,Minalin,,,,,,,6.4,,9.0,,6.0,,31.6,22.8,19.1,,3.1,9.8,5.7,12.4,4.1,7.8,
,,,Porac,,,,,,,11.1,,11.3,,7.1,,20.7,18.3,14.3,,7.3,14.8,7.9,14.7,5.4,8.7,
,,,San Fernando City,,,,,,,4.3,,4.8,,2.5,,22.8,22.9,19.7,,2.7,5.8,3.0,6.6,1.7,3.3,
,,,San Luis,,,,,,,20.3,,16.2,,6.0,,20.0,17.7,19.1,,13.6,27.0,11.5,20.9,4.1,7.9,
,,,San Simon,,,,,,,8.7,,9.1,,4.4,,23.8,25.8,26.7,,5.3,12.1,5.2,13.0,2.4,6.3,
,,,Santa Ana,,,,,,,13.0,,11.0,,6.1,,23.0,22.0,19.5,,8.1,18.0,7.0,14.9,4.1,8.1,
,,,Santa Rita,,,,,,,5.7,,9.4,,4.9,,40.5,30.3,28.1,,1.9,9.4,4.7,14.1,2.6,7.2,
,,,Santo Tomas,,,,,,,5.1,,6.0,,2.6,,40.4,39.3,43.5,,1.7,8.4,2.1,9.8,0.7,4.5,
,,,Sasmuan,,,,,,,12.1,,11.5,,6.7,,20.3,20.3,18.7,,8.1,16.2,7.6,15.3,4.7,8.8,
Tarlac,,,Anao,,,,,,,13.9,,18.0,,9.8,,17.3,18.1,14.3,,10.0,17.9,12.6,23.3,7.5,12.0,
,,,Bamban,,,,,,,7.6,,10.6,,4.6,,37.2,32.0,27.8,,2.9,12.2,5.0,16.2,2.5,6.7,
,,,Camiling,,,,,,,10.7,,15.8,,9.5,,12.1,11.6,8.3,,8.6,12.9,12.8,18.8,8.2,10.8,
,,,Capas,,,,,,,11.3,,13.2,,14.3,,25.9,19.3,11.6,,6.5,16.1,9.0,17.3,11.5,17.0,
,,,Concepcion,,,,,,,12.4,,13.5,,6.7,,17.5,13.9,14.6,,8.9,16.0,10.4,16.6,5.1,8.3,
,,,Gerona,,,,,,,13.9,,17.6,,10.9,,12.0,12.4,10.1,,11.1,16.6,14.0,21.2,9.1,12.7,
,,,La Paz,,,,,,,21.2,,17.0,,6.4,,13.9,14.5,17.1,,16.3,26.0,13.0,21.1,4.6,8.2,
,,,Mayantoc,,,,,,,24.2,,28.3,,12.6,,12.1,14.0,9.9,,19.4,29.0,21.8,34.8,10.6,14.7,
,,,Moncada,,,,,,,14.5,,15.9,,11.3,,16.0,13.4,11.7,,10.7,18.3,12.4,19.4,9.1,13.4,
,,,Paniqui,,,,,,,8.4,,12.8,,10.7,,16.5,12.5,10.1,,6.1,10.6,10.1,15.4,8.9,12.4,
,,,Pura,,,,,,,13.3,,14.7,,10.8,,22.4,18.1,13.9,,8.4,18.2,10.3,19.0,8.3,13.3,
,,,Ramos,,,,,,,19.0,,16.7,,13.0,,20.7,19.2,15.5,,12.5,25.5,11.4,22.0,9.7,16.3,
,,,San Clemente,,,,,,,24.2,,18.2,,11.8,,19.9,17.3,15.0,,16.3,32.2,13.0,23.3,8.9,14.7,
,,,San Manuel,,,,,,,16.7,,17.0,,10.0,,19.6,18.4,13.9,,11.3,22.1,11.9,22.1,7.7,12.3,
,,,Santa Ignacia,,,,,,,23.9,,21.8,,12.7,,12.6,13.1,11.4,,18.9,28.8,17.1,26.5,10.3,15.1,
,,,Tarlac City,,,,,,,7.1,,8.7,,8.5,,14.6,9.5,9.1,,5.4,8.8,7.4,10.1,7.2,9.8,
,,,Victoria,,,,,,,21.6,,20.2,,11.3,,13.1,13.3,10.8,,17.0,26.3,15.8,24.6,9.3,13.3,
,,,San Jose,,,,,,,37.8,,32.1,,24.0,,15.3,12.1,8.8,,28.3,47.2,25.7,38.4,20.5,27.5,
Zambales,,,Botolan,,,,,,,22.4,,17.4,,23.7,,19.2,14.0,9.1,,15.3,29.4,13.4,21.4,20.2,27.3,
,,,Cabangan,,,,,,,9.2,,21.2,,17.3,,24.2,12.5,9.8,,5.6,12.9,16.9,25.6,14.5,20.1,
,,,Candelabra,,,,,,,13.1,,18.2,,15.8,,20.5,16.1,10.0,,8.7,17.6,13.4,23.0,13.2,18.3,
,,,Castillejos,,,,,,,6.2,,12.5,,7.8,,34.4,21.1,17.4,,2.7,9.6,8.1,16.8,5.5,10.0,
,,,Iba,,,,,,,10.9,,12.5,,13.3,,27.1,22.2,13.4,,6.0,15.7,7.9,17.1,10.4,16.3,
,,,Masinloc,,,,,,,15.1,,18.2,,18.0,,16.4,18.4,11.8,,11.0,19.2,12.7,23.8,14.5,21.5,
,,,Olongapo City,,,,,,,4.7,,4.5,,3.1,,28.2,35.1,30.6,,2.5,6.8,1.9,7.0,1.5,4.7,
,,,Paluig,,,,,,,19.2,,21.3,,20.8,,17.2,12.7,9.2,,13.8,24.7,16.8,25.7,17.6,23.9,
,,,San Antonio,,,,,,,11.4,,12.0,,11.2,,26.8,17.8,14.4,,6.4,16.4,8.5,15.5,8.6,13.8,
,,,San Felipe,,,,,,,7.7,,14.5,,13.7,,28.5,25.4,14.4,,4.1,11.3,8.4,20.5,10.4,16.9,
,,,San Marcelino,,,,,,,12.5,,14.8,,14.1,,19.9,13.5,10.3,,8.4,16.6,11.5,18.1,11.7,16.5,
,,,San Narciso,,,,,,,9.0,,10.7,,11.5,,19.0,19.4,14.1,,6.2,11.8,7.3,14.1,8.8,14.1,
,,,Santa Cruz,,,,,,,18.2,,18.7,,18.9,,14.3,14.3,8.4,,13.9,22.5,14.3,23.1,16.3,21.5,
,,,Subic,,,,,,,7.9,,11.5,,11.7,,24.3,21.8,14.4,,4.7,11.0,7.4,15.6,8.9,14.5,
Aurora,,,Baler,,,,,,,11.6,,9.6,,10.0,,22.2,23.4,16.3,,7.4,15.8,5.9,13.2,7.3,12.7,
,,,Casiguran,,,,,,,29.1,,19.7,,18.4,,13.7,17.5,9.3,,22.5,35.6,14.0,25.4,15.6,21.3,
,,,Dilasag,,,,,,,34.8,,19.2,,13.9,,16.0,20.4,15.6,,25.6,43.9,12.7,25.6,10.4,17.5,
,,,Dinalungan,,,,,,,31.0,,25.6,,13.8,,16.2,19.2,15.1,,22.8,39.3,17.5,33.7,10.4,17.2,
,,,Dingalan,,,,,,,29.3,,14.5,,13.5,,18.9,28.8,17.8,,20.2,38.5,7.6,21.3,9.5,17.4,
,,,Dipaculao,,,,,,,28.5,,17.9,,14.5,,12.9,17.3,10.4,,22.5,34.5,12.8,23.0,12.0,17.0,
,,,Maria Aurora,,,,,,,18.4,,13.2,,10.1,,12.3,15.4,10.1,,14.7,22.2,9.9,16.6,8.5,11.8,
,,,San Luis,,,,,,,26.0,,13.8,,13.2,,14.9,22.0,12.7,,19.6,32.3,8.8,18.9,10.4,16.0,
Region IV-A,,,,,,,,,,,,,,,,,,,,,,,,,,
Batangas,,,Agoncillo,,,,,,,19.3,,15.4,,16.2,,16.6,12.1,10.1,,14.0,24.6,12.3,18.4,13.5,18.9,
,,,Alitagtag,,,,,,,7.5,,8.6,,6.5,,28.8,17.0,10.0,,3.9,11.0,6.2,11.1,5.4,7.6,
,,,Balayan,,,,,,,17.2,,14.1,,8.7,,12.2,9.0,10.1,,13.7,20.6,12.0,16.1,7.3,10.2,
,,,Balete,,,,,,,24.6,,17.2,,10.6,,18.0,16.2,9.7,,17.3,31.9,12.6,21.8,8.9,12.3,
,,,Batangas City,,,,,,,8.1,,7.1,,3.6,,11.7,9.7,19.9,,6.6,9.7,6.0,8.3,2.4,4.8,
,,,Bauan,,,,,,,6.1,,2.7,,4.3,,23.8,24.4,22.9,,3.7,8.5,1.6,3.8,2.7,5.9,
,,,Calaca,,,,,,,28.1,,17.8,,20.0,,12.5,9.4,15.0,,22.4,33.9,15.1,20.6,15.0,24.9,
,,,Calatagan,,,,,,,28.8,,21.9,,24.0,,11.0,10.8,15.1,,23.5,34.0,18.0,25.7,18.0,29.9,
,,,Cuenca,,,,,,,8.7,,9.9,,8.6,,29.2,16.5,21.3,,4.5,12.9,7.2,12.6,5.6,11.6,
,,,Ibaan,,,,,,,14.8,,12.1,,8.6,,17.3,15.0,19.6,,10.6,19.0,9.1,15.0,5.8,11.3,
,,,Laurel,,,,,,,29.8,,21.8,,31.3,,15.1,11.3,18.7,,22.4,37.2,17.7,25.8,21.7,40.9,
,,,Lemery,,,,,,,19.6,,14.3,,13.7,,11.6,8.9,13.8,,15.9,23.4,12.2,16.4,10.6,16.8,
,,,Lian,,,,,,,25.6,,16.5,,18.0,,13.6,14.7,16.2,,19.9,31.4,12.5,20.5,13.2,22.8,
,,,Lipa City,,,,,,,5.1,,3.9,,5.2,,20.9,16.3,16.1,,3.4,6.9,2.8,4.9,3.8,6.6,
,,,Lobo,,,,,,,39.5,,19.1,,25.9,,13.1,10.7,16.0,,31.0,48.0,15.7,22.4,19.0,32.7,
,,,Mabini,,,,,,,12.6,,11.7,,6.6,,15.8,12.9,19.3,,9.3,15.9,9.2,14.2,4.5,8.7,
,,,Malvar,,,,,,,7.5,,6.5,,6.6,,27.6,22.2,25.1,,4.1,10.8,4.1,8.9,3.9,9.4,
,,,Mataas Na Kahoy,,,,,,,8.7,,9.8,,4.8,,24.8,20.1,29.4,,5.2,12.3,6.5,13.0,2.5,7.1,
,,,Nasugbu,,,,,,,17.9,,17.3,,15.3,,13.7,11.3,14.3,,13.9,22.0,14.1,20.6,11.7,18.9,
,,,Padre Garcia,,,,,,,17.3,,16.5,,13.8,,21.1,15.4,17.6,,11.3,23.3,12.3,20.6,9.8,17.8,
,,,Rosario,,,,,,,22.3,,16.8,,14.9,,12.0,8.1,14.5,,17.9,26.7,14.5,19.0,11.4,18.5,
,,,San Jose,,,,,,,11.6,,11.2,,8.6,,22.1,15.3,17.2,,7.4,15.8,8.4,14.1,6.2,11.1,
,,,San Juan,,,,,,,24.1,,15.4,,21.2,,10.8,11.0,13.5,,19.8,28.4,12.6,18.2,16.5,25.9,
,,,San Luis,,,,,,,14.9,,9.5,,10.3,,19.1,17.1,18.8,,10.3,19.6,6.9,12.2,7.1,13.5,
,,,San Nicolas,,,,,,,8.5,,5.3,,10.6,,26.2,27.5,22.6,,4.8,12.1,2.9,7.8,6.7,14.6,
,,,San Pascual,,,,,,,7.4,,5.8,,3.0,,23.9,20.1,27.4,,4.5,10.3,3.9,7.7,1.6,4.3,
,,,Santa Teresita,,,,,,,12.5,,9.4,,6.0,,22.0,20.8,29.9,,8.0,17.0,6.2,12.6,3.1,9.0,
,,,Santo Tomas,,,,,,,10.0,,8.6,,5.4,,19.7,16.3,21.4,,6.7,13.2,6.3,10.9,3.5,7.3,
,,,Taal,,,,,,,4.6,,4.1,,7.0,,25.4,23.2,19.5,,2.7,6.5,2.6,5.7,4.7,9.2,
,,,Talisay,,,,,,,7.5,,5.6,,10.1,,25.5,26.3,20.3,,4.4,10.7,3.2,8.1,6.7,13.5,
,,,Tanauan City,,,,,,,7.1,,4.0,,5.9,,17.4,16.6,16.2,,5.0,9.1,2.9,5.1,4.3,7.4,
,,,Taysan,,,,,,,21.2,,16.6,,14.9,,16.1,12.2,17.8,,15.6,26.8,13.3,19.9,10.6,19.3,
,,,Tingloy,,,,,,,44.0,,26.2,,31.6,,11.4,10.5,17.1,,35.7,52.2,21.7,30.7,22.7,40.5,
,,,Tuy,,,,,,,26.6,,18.0,,19.8,,12.9,10.6,17.0,,20.9,32.2,14.9,21.2,14.2,25.3,
Cavite,,,Alfonso,,,,,,,17.3,,13.8,,6.0,,14.1,11.9,14.7,,13.3,21.3,11.1,16.5,4.5,7.4,
,,,Amadeo,,,,,,,13.4,,6.3,,1.9,,17.8,19.2,24.1,,9.5,17.3,4.3,8.2,1.1,2.6,
,,,Bacoor City,,,,,,,5.2,,3.6,,1.1,,19.7,17.1,30.9,,3.5,6.8,2.6,4.6,0.5,1.7,
,,,Carmona,,,,,,,5.0,,3.4,,3.0,,37.3,48.4,19.0,,1.9,8.0,0.7,6.2,2.1,3.9,
,,,Cavite City,,,,,,,4.7,,5.5,,5.4,,16.7,15.5,14.9,,3.4,6.0,4.1,6.9,4.1,6.8,
,,,Dasmariñas City,,,,,,,5.2,,5.3,,4.8,,21.5,15.8,16.7,,3.4,7.0,3.9,6.6,3.5,6.1,
,,,General Emilio Aguinaldo,,,,,,,22.0,,13.7,,7.3,,15.9,15.4,12.1,,16.2,27.7,10.2,17.2,5.9,8.8,
,,,General Trias,,,,,,,4.8,,3.5,,3.2,,34.2,29.3,30.5,,2.1,7.5,1.8,5.2,1.6,4.8,
,,,Imus City,,,,,,,3.0,,2.3,,1.1,,19.7,16.2,30.9,,2.0,4.0,1.7,3.0,0.5,1.7,
,,,Indang,,,,,,,9.6,,6.7,,3.1,,17.6,13.5,27.2,,6.8,12.3,5.2,8.2,1.7,4.4,
,,,Kawit,,,,,,,5.8,,4.8,,5.9,,23.7,22.5,22.3,,3.5,8.0,3.0,6.6,3.7,8.0,
,,,Magallanes,,,,,,,28.7,,19.4,,13.5,,16.1,13.8,24.3,,21.1,36.3,15.0,23.8,8.1,18.9,
,,,Maragondon,,,,,,,22.2,,16.3,,8.9,,14.1,13.3,21.3,,17.1,27.3,12.7,19.9,5.8,12.0,
,,,Mendez (Mendez-Nuñez),,,,,,,7.6,,4.5,,5.2,,27.6,23.5,22.8,,4.1,11.1,2.8,6.3,3.3,7.2,
,,,Naic,,,,,,,11.6,,8.4,,8.3,,17.3,18.1,19.7,,8.3,14.9,5.9,10.8,5.6,11.0,
,,,Noveleta,,,,,,,2.9,,3.0,,3.4,,39.4,34.8,32.5,,1.0,4.7,1.3,4.7,1.6,5.2,
,,,Rosario,,,,,,,7.8,,5.9,,7.5,,25.8,22.4,22.7,,4.5,11.1,3.7,8.1,4.7,10.3,
,,,Silang,,,,,,,11.6,,11.0,,5.5,,15.4,11.6,14.7,,8.7,14.6,8.9,13.1,4.2,6.9,
,,,Tagaytay City,,,,,,,7.6,,5.6,,6.6,,21.9,18.4,19.2,,4.9,10.3,3.9,7.3,4.5,8.6,
,,,Tanza,,,,,,,8.3,,5.4,,6.8,,16.5,17.8,20.1,,6.0,10.6,3.8,7.0,4.6,9.1,
,,,Ternate,,,,,,,12.0,,16.5,,9.0,,30.0,16.8,31.1,,6.1,17.9,11.9,21.0,4.4,13.7,
,,,Trece Martires City,,,,,,,3.9,,4.3,,4.6,,35.6,30.9,31.9,,1.6,6.2,2.1,6.5,2.2,7.0,
,,,Gen. Mariano Alvarez,,,,,,,4.4,,5.7,,6.0,,28.0,19.7,25.3,,2.4,6.4,3.8,7.5,3.5,8.6,
Laguna,,,Alaminos,,,,,,,5.4,,6.4,,2.1,,30.4,25.5,23.2,,2.7,8.0,3.7,9.1,1.3,2.9,
,,,Bay,,,,,,,6.3,,2.8,,3.2,,28.8,36.5,16.1,,3.3,9.2,1.1,4.4,2.4,4.1,
,,,Biñan City,,,,,,,2.0,,1.7,,7.9,,40.9,43.1,12.4,,0.7,3.4,0.5,2.9,6.3,9.5,
,,,Cabuyao City,,,,,,,2.9,,1.7,,11.0,,38.1,38.9,10.9,,1.1,4.7,0.6,2.7,9.1,13.0,
,,,Calamba City,,,,,,,2.4,,2.0,,3.4,,29.8,25.9,20.2,,1.2,3.6,1.2,2.9,2.3,4.6,
,,,Calauan,,,,,,,16.6,,12.0,,13.0,,19.2,16.1,25.7,,11.3,21.8,8.8,15.2,7.5,18.5,
,,,Cavinti,,,,,,,13.5,,11.5,,14.0,,24.2,16.5,24.9,,8.1,18.9,8.4,14.6,8.3,19.8,
,,,Famy,,,,,,,15.8,,11.0,,15.7,,24.7,22.6,21.3,,9.4,22.2,6.9,15.0,10.2,21.1,
,,,Kalayaan,,,,,,,17.7,,12.8,,14.5,,39.4,39.4,39.6,,6.2,29.1,4.5,21.0,5.1,24.0,
,,,Liliw,,,,,,,10.5,,7.6,,9.9,,19.1,19.2,19.7,,7.2,13.8,5.2,10.0,6.7,13.1,
,,,Los Baños,,,,,,,2.6,,1.6,,2.7,,41.3,46.0,35.5,,0.8,4.4,0.4,2.9,1.1,4.3,
,,,Luisiana,,,,,,,8.7,,8.2,,7.3,,29.6,17.9,30.4,,4.5,13.0,5.7,10.6,3.6,10.9,
,,,Lumban,,,,,,,6.9,,7.2,,8.7,,26.0,23.5,23.2,,3.9,9.8,4.4,9.9,5.4,12.0,
,,,Mabitac,,,,,,,11.4,,14.4,,22.5,,27.0,18.7,24.0,,6.4,16.5,10.0,18.9,13.6,31.4,
,,,Magdalena,,,,,,,12.4,,13.8,,19.5,,21.1,15.2,17.2,,8.1,16.7,10.3,17.2,14.0,25.0,
,,,Majayjay,,,,,,,24.4,,13.4,,15.2,,17.4,12.7,18.5,,17.4,31.3,10.6,16.2,10.6,19.9,
,,,Nagcarlan,,,,,,,9.4,,7.3,,10.0,,19.4,16.9,19.6,,6.4,12.4,5.2,9.3,6.8,13.3,
,,,Paete,,,,,,,2.2,,3.2,,7.7,,61.8,53.3,33.2,,0.0,4.4,0.4,6.1,3.5,11.9,
,,,Pagsanjan,,,,,,,2.8,,2.8,,7.2,,38.2,32.9,24.7,,1.0,4.6,1.3,4.4,4.3,10.1,
,,,Pakil,,,,,,,14.4,,8.9,,12.7,,21.8,24.6,21.7,,9.2,19.6,5.3,12.5,8.1,17.2,
,,,Pangil,,,,,,,11.8,,7.4,,16.2,,32.8,29.3,25.8,,5.5,18.2,3.8,11.0,9.3,23.0,
,,,Pila,,,,,,,5.3,,3.4,,8.4,,35.6,30.4,19.8,,2.2,8.3,1.7,5.1,5.6,11.1,
,,,Rizal,,,,,,,5.7,,5.8,,4.9,,41.8,30.1,35.0,,1.8,9.5,2.9,8.7,2.1,7.7,
,,,San Pablo City,,,,,,,3.5,,2.7,,5.6,,19.9,19.8,16.6,,2.4,4.7,1.8,3.6,4.1,7.1,
,,,San Pedro,,,,,,,1.9,,1.4,,1.0,,49.0,41.1,52.9,,0.4,3.5,0.5,2.4,0.1,1.9,
,,,Santa Cruz,,,,,,,3.4,,2.3,,5.3,,32.7,33.5,25.1,,1.6,5.2,1.0,3.6,3.1,7.4,
,,,Santa Maria,,,,,,,20.6,,16.8,,20.6,,15.0,12.2,16.8,,15.5,25.6,13.4,20.2,14.9,26.2,
,,,Santa Rosa City,,,,,,,1.7,,1.5,,1.9,,46.0,40.1,36.1,,0.4,3.1,0.5,2.4,0.8,3.0,
,,,Siniloan,,,,,,,9.5,,11.4,,11.0,,22.6,19.7,18.5,,6.0,13.1,7.7,15.1,7.7,14.4,
,,,Victoria,,,,,,,5.6,,3.7,,8.6,,45.5,39.1,27.5,,1.4,9.8,1.3,6.1,4.7,12.5,
Quezon,,,Agdangan,,,,,,,41.9,,19.8,,21.6,,13.4,12.9,9.7,,32.7,51.2,15.6,24.0,18.2,25.1,
,,,Alabat,,,,,,,30.0,,17.0,,13.4,,13.3,11.3,11.6,,23.5,36.6,13.9,20.2,10.8,16.0,
,,,Atimonan,,,,,,,16.6,,12.7,,37.3,,14.5,11.1,8.0,,12.7,20.5,10.4,15.0,32.4,42.3,
,,,Buenavista,,,,,,,74.4,,34.9,,46.6,,7.2,6.5,9.5,,65.6,83.2,31.2,38.6,39.3,53.9,
,,,Burdeos,,,,,,,52.3,,39.3,,50.8,,10.5,9.6,12.2,,43.3,61.3,33.1,45.5,40.6,60.9,
,,,Calauag,,,,,,,43.4,,25.8,,28.1,,8.9,6.8,11.8,,37.0,49.7,22.9,28.6,22.7,33.6,
,,,Candelaria,,,,,,,10.0,,10.6,,12.8,,22.0,15.1,20.5,,6.4,13.6,8.0,13.3,8.5,17.1,
,,,Catanauan,,,,,,,50.0,,27.8,,30.6,,9.4,7.1,9.8,,42.3,57.7,24.6,31.1,25.6,35.5,
,,,Dolores,,,,,,,16.6,,13.3,,13.7,,24.4,18.4,25.1,,9.9,23.3,9.3,17.4,8.1,19.4,
,,,General Luna,,,,,,,42.4,,27.5,,32.5,,9.0,9.0,13.6,,36.1,48.7,23.4,31.6,25.2,39.7,
,,,General Nakar,,,,,,,49.7,,27.8,,43.3,,11.1,10.9,14.0,,40.6,58.8,22.8,32.8,33.4,53.2,
,,,Guinayangan,,,,,,,46.9,,27.5,,29.1,,9.6,6.5,12.7,,39.5,54.3,24.5,30.4,23.0,35.1,
,,,Gumaca,,,,,,,19.7,,16.7,,13.1,,11.7,9.3,19.5,,15.9,23.5,14.2,19.3,8.9,17.3,
,,,Infanta,,,,,,,26.4,,15.0,,13.7,,13.1,15.2,18.1,,20.7,32.1,11.3,18.8,9.6,17.7,
,,,Jomalig,,,,,,,74.9,,39.0,,57.6,,10.1,13.2,16.0,,62.5,87.3,30.5,47.4,42.4,72.8,
,,,Lopez,,,,,,,38.9,,21.7,,23.1,,9.3,6.5,12.8,,32.9,44.8,19.4,24.1,18.2,28.0,
,,,Lucban,,,,,,,12.2,,5.2,,5.3,,19.5,24.7,36.9,,8.3,16.1,3.1,7.2,2.1,8.5,
,,,Lucena City,,,,,,,5.4,,3.6,,6.6,,27.3,24.7,21.0,,2.9,7.8,2.1,5.1,4.3,8.8,
,,,Macalelon,,,,,,,55.7,,29.5,,30.0,,10.3,8.3,12.4,,46.3,65.1,25.4,33.5,23.9,36.1,
,,,Mauban,,,,,,,29.3,,21.5,,26.5,,10.9,9.0,13.9,,24.1,34.6,18.3,24.7,20.5,32.6,
,,,Mulanay,,,,,,,66.3,,31.5,,39.7,,9.7,7.9,10.8,,55.8,76.8,27.4,35.6,32.6,46.7,
,,,Padre Burgos,,,,,,,33.6,,17.2,,27.0,,13.1,13.7,13.2,,26.4,40.8,13.3,21.1,21.1,32.8,
,,,Pagbilao,,,,,,,12.9,,13.4,,12.1,,17.5,14.9,20.2,,9.2,16.7,10.1,16.7,8.1,16.1,
,,,Panukulan,,,,,,,54.9,,34.5,,42.4,,11.5,9.5,13.6,,44.5,65.3,29.1,39.9,32.9,51.9,
,,,Patnanungan,,,,,,,71.2,,36.0,,55.4,,11.3,15.8,14.9,,58.0,84.4,26.7,45.3,41.8,69.0,
,,,Perez,,,,,,,50.5,,29.7,,37.7,,12.2,11.2,13.6,,40.4,60.6,24.2,35.2,29.3,46.2,
,,,Pitogo,,,,,,,37.0,,24.2,,28.1,,9.7,8.2,12.3,,31.1,42.9,20.9,27.4,22.4,33.8,
,,,Plaridel,,,,,,,15.6,,12.3,,16.6,,24.8,17.7,21.3,,9.2,21.9,8.7,15.9,10.8,22.4,
,,,Polillo,,,,,,,36.5,,27.0,,30.8,,12.2,8.3,15.1,,29.1,43.8,23.3,30.6,23.1,38.4,
,,,Quezon,,,,,,,49.8,,29.2,,26.4,,9.2,8.6,16.1,,42.3,57.3,25.0,33.3,19.4,33.4,
,,,Real,,,,,,,26.0,,17.1,,29.8,,14.9,11.8,15.0,,19.6,32.4,13.8,20.4,22.4,37.1,
,,,Sampaloc,,,,,,,18.7,,11.9,,15.2,,23.1,18.8,24.8,,11.6,25.9,8.3,15.6,9.0,21.4,
,,,San Andres,,,,,,,78.3,,39.0,,54.7,,8.1,13.3,14.0,,67.8,88.8,30.5,47.5,42.1,67.3,
,,,San Antonio,,,,,,,15.8,,16.7,,24.0,,18.1,14.4,15.8,,11.1,20.5,12.7,20.6,17.8,30.3,
,,,San Francisco (Aurora),,,,,,,63.5,,41.4,,45.1,,9.2,7.9,10.9,,53.9,73.1,36.0,46.8,37.0,53.1,
,,,San Narciso,,,,,,,68.7,,41.1,,44.0,,7.3,8.1,10.8,,60.4,76.9,35.7,46.6,36.2,51.8,
,,,Sariaya,,,,,,,21.0,,14.5,,23.2,,13.6,11.8,12.4,,16.3,25.7,11.7,17.3,18.5,28.0,
,,,Tagkawayan,,,,,,,41.8,,23.7,,31.0,,10.2,8.3,11.4,,34.8,48.8,20.4,26.9,25.1,36.8,
,,,Tayabas City,,,,,,,12.4,,10.5,,9.6,,16.6,13.0,22.0,,9.1,15.8,8.2,12.7,6.1,13.0,
,,,Tiaong,,,,,,,16.2,,13.8,,13.9,,17.5,13.5,17.1,,11.5,20.8,10.7,16.8,10.0,17.8,
,,,Unisan,,,,,,,40.4,,21.2,,23.9,,10.7,7.6,13.3,,33.3,47.6,18.5,23.8,18.7,29.1,
Rizal,,,Angono,,,,,,,2.5,,2.4,,3.3,,62.2,49.4,20.8,,0.0,5.1,0.5,4.4,2.2,4.5,
,,,Antipolo City,,,,,,,4.7,,3.6,,4.1,,33.0,29.3,28.9,,2.1,7.2,1.8,5.3,2.1,6.0,
,,,Baras,,,,,,,9.0,,11.4,,9.1,,36.1,24.8,27.8,,3.7,14.3,6.8,16.1,5.0,13.3,
,,,Binangonan,,,,,,,5.0,,4.0,,6.1,,26.1,19.5,17.8,,2.8,7.1,2.7,5.3,4.3,7.9,
,,,Cainta,,,,,,,2.8,,1.4,,0.7,,59.4,56.6,84.8,,0.1,5.6,0.1,2.8,0.0,1.6,
,,,Cardona,,,,,,,6.5,,5.5,,9.2,,30.7,28.3,25.9,,3.2,9.8,3.0,8.1,5.3,13.2,
,,,Jala-Jala,,,,,,,14.9,,15.7,,19.7,,23.5,16.0,19.9,,9.2,20.7,11.6,19.8,13.3,26.2,
,,,Rodriguez (Montalban),,,,,,,5.8,,4.5,,5.1,,38.5,35.3,41.5,,2.1,9.5,1.9,7.1,1.6,8.6,
,,,Morong,,,,,,,4.8,,2.2,,3.5,,44.9,50.0,46.3,,1.3,8.4,0.4,4.1,0.8,6.2,
,,,Pililla,,,,,,,5.7,,5.9,,10.8,,35.1,33.3,29.3,,2.4,9.0,2.7,9.1,5.6,16.0,
,,,San Mateo,,,,,,,3.6,,2.2,,3.1,,38.0,37.6,32.6,,1.4,5.9,0.8,3.5,1.4,4.8,
,,,Tanay,,,,,,,10.4,,10.5,,10.2,,25.5,18.9,23.7,,6.0,14.7,7.3,13.8,6.2,14.2,
,,,Taytay,,,,,,,2.8,,3.2,,4.1,,63.7,47.1,47.8,,0.0,5.8,0.7,5.7,0.9,7.3,
,,,Teresa,,,,,,,2.7,,3.3,,5.4,,55.1,47.3,36.2,,0.3,5.2,0.7,5.9,2.2,8.6,
Region IV-B,,,,,,,,,,,,,,,,,,,,,,,,,,
Marinduque,,,Boac,,,,,,,24.7,,26.5,,7.5,,10.4,8.6,21.2,,19.9,29.4,22.8,30.3,4.9,10.1,
,,,Buenavista,,,,,,,50.3,,36.9,,22.1,,7.9,13.0,15.5,,42.0,58.6,29.0,44.8,16.5,27.8,
,,,Gasan,,,,,,,39.4,,30.7,,16.2,,12.2,12.4,13.3,,31.6,47.2,24.4,37.0,12.6,19.7,
