"Table 2.  Household Population, Number of Households and Average Household Size ",,,,
"by Region, Province, City, and Municipality: Philippines, 2015",,,,
,,,,
"Region, Province, City, and Municipality",,Household Population,Number of Households,Average Household Size 
QUINAPONDAN,,"14,764","3,388", 4.4 
SALCEDO,,"22,526","5,211", 4.3 
SAN JULIAN,,"14,458","3,401", 4.3 
SAN POLICARPO,,"14,674","3,271", 4.5 
SULAT,,"15,353","3,677", 4.2 
TAFT,,"18,816","4,388", 4.3 
,,,,
LEYTE (excluding TACLOBAN CITY),,"1,718,543","405,873", 4.2 
ABUYOG,,"57,424","13,508", 4.3 
ALANGALANG,,"55,219","12,768", 4.3 
ALBUERA,,"46,332","11,067", 4.2 
BABATNGON,,"27,745","6,108", 4.5 
BARUGO,,"32,733","6,919", 4.7 
BATO,,"38,343","8,691", 4.4 
CITY OF BAYBAY,,"108,217","26,180", 4.1 
BURAUEN,,"52,548","12,577", 4.2 
CALUBIAN,,"31,191","7,858", 4.0 
CAPOOCAN,,"33,617","7,332", 4.6 
CARIGARA,,"51,200","11,303", 4.5 
DAGAMI,,"35,127","8,433", 4.2 
DULAG,,"47,240","11,838", 4.0 
HILONGOS,,"63,330","14,394", 4.4 
HINDANG,,"20,923","4,994", 4.2 
INOPACAN,,"20,537","4,912", 4.2 
ISABEL,,"46,735","11,201", 4.2 
JARO,,"43,189","9,747", 4.4 
JAVIER (BUGHO),,"25,343","6,024", 4.2 
JULITA,,"15,110","3,840", 3.9 
KANANGA,,"56,427","12,921", 4.4 
LA PAZ,,"19,998","4,980", 4.0 
LEYTE,,"40,603","9,101", 4.5 
MACARTHUR,,"21,206","5,109", 4.2 
MAHAPLAG,,"27,823","6,238", 4.5 
MATAG-OB,,"18,373","4,570", 4.0 
MATALOM,,"33,121","7,537", 4.4 
MAYORGA,,"17,151","4,236", 4.0 
MERIDA,,"29,806","7,923", 3.8 
ORMOC CITY,,"214,464","50,341", 4.3 
PALO,,"69,260","15,730", 4.4 
PALOMPON,,"58,036","14,514", 4.0 
PASTRANA,,"17,997","4,331", 4.2 
SAN ISIDRO,,"31,577","7,882", 4.0 
SAN MIGUEL,,"19,420","4,309", 4.5 
SANTA FE,,"20,434","4,741", 4.3 
TABANGO,,"34,188","8,227", 4.2 
TABONTABON,,"11,159","2,780", 4.0 
TANAUAN,,"54,953","13,518", 4.1 
TOLOSA,,"20,978","5,073", 4.1 
TUNGA,,"7,584","1,597", 4.7 
VILLABA,,"41,882","10,521", 4.0 
,,,,
TACLOBAN CITY (Capital),,"240,513","50,547", 4.8 
,,,,
NORTHERN SAMAR,,"630,912","126,619", 5.0 
ALLEN,,"25,421","5,543", 4.6 
BIRI,,"11,767","2,269", 5.2 
BOBON,,"23,450","4,873", 4.8 
CAPUL,,"12,671","2,504", 5.1 
CATARMAN (Capital),,"93,627","19,091", 4.9 
CATUBIG,,"32,944","6,514", 5.1 
GAMAY,,"23,450","5,263", 4.5 
LAOANG,,"61,212","12,283", 5.0 
LAPINIG,,"12,999","2,483", 5.2 
LAS NAVAS,,"37,896","7,133", 5.3 
LAVEZARES,,"28,742","6,133", 4.7 
MAPANAS,,"13,977","2,785", 5.0 
MONDRAGON,,"38,656","7,593", 5.1 
PALAPAG,,"34,197","6,957", 4.9 
PAMBUJAN,,"33,021","6,115", 5.4 
ROSARIO,,"10,518","2,080", 5.1 
SAN ANTONIO,,"9,055","1,880", 4.8 
SAN ISIDRO,,"26,650","5,666", 4.7 
SAN JOSE,,"17,505","3,907", 4.5 
SAN ROQUE,,"30,568","5,106", 6.0 
SAN VICENTE,,"7,856","1,644", 4.8 
SILVINO LOBOS,,"15,285","2,735", 5.6 
VICTORIA,,"14,806","3,215", 4.6 
LOPE DE VEGA,,"14,639","2,847", 5.1 
,,,,
SAMAR (WESTERN SAMAR),,"778,669","165,286", 4.7 
ALMAGRO,,"8,942","2,101", 4.3 
BASEY,,"55,309","12,648", 4.4 
CALBAYOG CITY,,"183,132","38,411", 4.8 
CALBIGA,,"22,945","5,160", 4.4 
CITY OF CATBALOGAN (Capital),,"103,398","21,184", 4.9 
DARAM,,"42,868","8,716", 4.9 
GANDARA,,"34,393","7,121", 4.8 
HINABANGAN,,"13,655","2,791", 4.9 
JIABONG,,"18,315","3,896", 4.7 
MARABUT,,"16,930","3,980", 4.3 
MATUGUINAO,,"7,274","1,523", 4.8 
MOTIONG,,"15,074","3,043", 5.0 
PINABACDAO,,"18,227","3,769", 4.8 
SAN JOSE DE BUAN,,"7,765","1,649", 4.7 
SAN SEBASTIAN,,"8,052","1,696", 4.7 
SANTA MARGARITA,,"26,332","5,833", 4.5 
SANTA RITA,,"41,543","8,865", 4.7 
SANTO NI„O,,"12,863","2,742", 4.7 
TALALORA,,"8,053","1,676", 4.8 
TARANGNAN,,"24,980","5,580", 4.5 
VILLAREAL,,"28,214","5,986", 4.7 
PARANAS (WRIGHT),,"30,537","6,349", 4.8 
ZUMARRAGA,,"16,288","3,302", 4.9 
TAGAPUL-AN,,"8,473","1,955", 4.3 
SAN JORGE,,"17,165","3,486", 4.9 
PAGSANGHAN,,"7,942","1,824", 4.4 
,,,,4.51
SOUTHERN LEYTE,,"420,374","92,836", 4.5 
ANAHAWAN,,"8,211","1,788", 4.6 
BONTOC,,"28,779","6,599", 4.4 
HINUNANGAN,,"29,928","6,940", 4.3 
HINUNDAYAN,,"12,279","3,054", 4.0 
LIBAGON,,"15,169","3,178", 4.8 
LILOAN,,"23,977","5,090", 4.7 
CITY OF MAASIN (Capital),,"84,932","18,619", 4.6 
MACROHON,,"26,188","6,058", 4.3 
MALITBOG,,"22,893","4,329", 5.3 
PADRE BURGOS,,"10,958","2,387", 4.6 
PINTUYAN,,"9,826","2,218", 4.4 
SAINT BERNARD,,"28,338","5,919", 4.8 
SAN FRANCISCO,,"13,402","2,972", 4.5 
SAN JUAN (CABALIAN),,"14,809","3,356", 4.4 
SAN RICARDO,,"10,452","2,213", 4.7 
SILAGO,,"12,765","3,105", 4.1 
SOGOD,,"44,827","9,954", 4.5 
TOMAS OPPUS,,"16,580","3,691", 4.5 
LIMASAWA,,"6,061","1,366", 4.4 
,,,,
BILIRAN,,"170,735","38,518", 4.4 
ALMERIA,,"16,926","4,043", 4.2 
BILIRAN,,"16,835","3,866", 4.4 
CABUCGAYAN,,"20,782","4,751", 4.4 
CAIBIRAN,,"22,514","4,808", 4.7 
CULABA,,"12,291","2,727", 4.5 
KAWAYAN,,"20,278","4,631", 4.4 
MARIPIPI,,"7,148","1,668", 4.3 
NAVAL (Capital),,"53,961","12,024", 4.5 
,,,,
REGION IX (ZAMBOANGA PENINSULA),,"3,615,108","799,219", 4.5 
,,,,
ZAMBOANGA DEL NORTE,,"1,008,000","224,828", 4.5 
DAPITAN CITY,,"81,991","18,108", 4.5 
DIPOLOG CITY (Capital),,"129,546","29,983", 4.3 
KATIPUNAN,,"45,527","9,803", 4.6 
LA LIBERTAD,,"8,406","1,871", 4.5 
LABASON,,"41,293","9,186", 4.5 
LILOY,,"39,782","9,369", 4.2 
MANUKAN,,"36,060","7,823", 4.6 
MUTIA,,"12,642","2,686", 4.7 
PI„AN (NEW PI„AN),,"20,131","4,632", 4.3 
POLANCO,,"39,286","9,198", 4.3 
PRES. MANUEL A. ROXAS,,"39,283","8,423", 4.7 
RIZAL,,"14,010","3,521", 4.0 
SALUG,,"32,092","7,233", 4.4 
SERGIO OSME„A SR.,,"30,195","6,529", 4.6 
SIAYAN,,"34,933","7,319", 4.8 
SIBUCO,,"34,592","7,229", 4.8 
SIBUTAD,,"17,645","4,322", 4.1 
SINDANGAN,,"99,089","22,409", 4.4 
SIOCON,,"46,644","10,613", 4.4 
SIRAWAI,,"28,721","5,854", 4.9 
TAMPILISAN,,"24,264","5,657", 4.3 
JOSE DALMAN (PONOT),,"27,388","6,104", 4.5 
GUTALAC,,"34,652","7,584", 4.6 
BALIGUIAN,,"22,588","5,176", 4.4 
GODOD,,"17,424","3,802", 4.6 
BACUNGAN (Leon T. Postigo),,"26,196","5,564", 4.7 
KALAWIT,,"23,620","4,830", 4.9 
,,,,
ZAMBOANGA DEL SUR (excluding ZAMBOANGA CITY),,"1,007,448","216,714", 4.6 
AURORA,,"50,720","11,037", 4.6 
BAYOG,,"33,591","6,920", 4.9 
DIMATALING,,"30,081","6,572", 4.6 
DINAS,,"35,502","7,702", 4.6 
DUMALINAO,,"32,000","7,097", 4.5 
DUMINGAG,,"47,173","9,888", 4.8 
KUMALARANG,,"28,469","6,005", 4.7 
LABANGAN,,"41,534","8,767", 4.7 
LAPUYAN,,"27,167","5,793", 4.7 
MAHAYAG,,"46,381","9,769", 4.7 
MARGOSATUBIG,,"37,853","8,823", 4.3 
MIDSALIP,,"32,038","6,782", 4.7 
MOLAVE,,"51,719","11,515", 4.5 
PAGADIAN CITY (Capital),,"197,531","41,344", 4.8 
RAMON MAGSAYSAY (LIARGO),,"26,437","6,158", 4.3 
SAN MIGUEL,,"19,200","4,234", 4.5 
SAN PABLO,,"26,105","5,812", 4.5 
TABINA,,"25,061","5,627", 4.5 
TAMBULIG,,"36,126","7,717", 4.7 
TUKURAN,,"39,820","8,498", 4.7 
LAKEWOOD,,"20,363","4,099", 5.0 
JOSEFINA,,"11,626","2,556", 4.5 
PITOGO,,"27,054","5,881", 4.6 
SOMINOT (DON MARIANO MARCOS),,"18,537","4,149", 4.5 
VINCENZO A. SAGUN,,"23,749","5,061", 4.7 
GUIPOS,,"20,662","4,307", 4.8 
TIGBAO,,"20,949","4,601", 4.6 
,,,,
ZAMBOANGA CITY,,"855,418","193,970", 4.4 
,,,,
ZAMBOANGA SIBUGAY,,"632,122","140,791", 4.5 
ALICIA,,"35,998","7,766", 4.6 
BUUG,,"36,604","8,344", 4.4 
DIPLAHAN,,"32,381","7,663", 4.2 
IMELDA,,"27,926","6,540", 4.3 
IPIL (Capital),,"74,552","18,094", 4.1 
KABASALAN,,"44,195","9,517", 4.6 
MABUHAY,,"36,700","6,986", 5.3 
MALANGAS,,"33,356","8,067", 4.1 
NAGA,,"38,522","8,562", 4.5 
OLUTANGA,,"33,671","6,765", 5.0 
PAYAO,,"31,642","6,943", 4.6 
ROSELLER LIM,,"43,644","10,513", 4.2 
SIAY,,"41,455","9,215", 4.5 
TALUSAN,,"29,911","5,191", 5.8 
TITAY,,"49,623","11,138", 4.5 
TUNGAWAN,,"41,942","9,487", 4.4 
,,,,
CITY OF ISABELA,,"112,120","22,916", 4.9 
,,,,
REGION X (NORTHERN MINDANAO),,"4,663,108","1,042,929", 4.5 
,,,,
BUKIDNON,,"1,406,764","308,777", 4.6 
BAUNGON,,"34,290","7,598", 4.5 
DAMULOG,,"30,280","6,783", 4.5 
DANGCAGAN,,"23,701","5,168", 4.6 
DON CARLOS,,"66,882","14,399", 4.6 
IMPASUG-ONG,,"47,253","9,858", 4.8 
KADINGILAN,,"33,762","7,454", 4.5 
KALILANGAN,,"41,570","8,869", 4.7 
KIBAWE,,"39,561","8,872", 4.5 
KITAOTAO,,"50,143","10,897", 4.6 
LANTAPAN,,"61,265","12,967", 4.7 
LIBONA,,"43,454","9,957", 4.4 
CITY OF MALAYBALAY (Capital),,"172,131","38,999", 4.4 
MALITBOG,,"24,370","4,999", 4.9 
MANOLO FORTICH,,"99,271","21,248", 4.7 
MARAMAG,,"101,647","23,004", 4.4 
PANGANTUCAN,,"53,012","11,396", 4.7 
QUEZON,,"104,046","22,996", 4.5 
SAN FERNANDO,,"55,981","12,394", 4.5 
SUMILAO,,"27,094","5,638", 4.8 
TALAKAG,,"71,614","14,174", 5.1 
CITY OF VALENCIA,,"191,523","44,159", 4.3 
CABANGLASAN,,"33,914","6,948", 4.9 
,,,,
CAMIGUIN,,"88,281","20,080", 4.4 
CATARMAN,,"16,793","4,060", 4.1 
GUINSILIBAN,,"6,270","1,459", 4.3 
MAHINOG,,"14,033","3,135", 4.5 
MAMBAJAO (Capital),,"38,574","8,547", 4.5 
SAGAY,,"12,611","2,879", 4.4 
,,,,
LANAO DEL NORTE (excluding ILIGAN CITY),,"674,771","140,350", 4.8 
BACOLOD,,"22,995","5,199", 4.4 
BALOI,,"58,223","10,084", 5.8 
BAROY,,"22,599","5,601", 4.0 
KAPATAGAN,,"62,705","14,998", 4.2 
SULTAN NAGA DIMAPORO (KAROMATAN),,"56,750","11,616", 4.9 
KAUSWAGAN,,"26,143","5,916", 4.4 
KOLAMBUGAN,,"26,950","6,446", 4.2 
LALA,,"67,612","15,443", 4.4 
LINAMON,,"20,325","4,473", 4.5 
MAGSAYSAY,,"18,971","3,839", 4.9 
MAIGO,,"21,606","5,008", 4.3 
MATUNGAO,,"13,974","2,206", 6.3 
MUNAI,,"32,854","6,020", 5.5 
NUNUNGAN,,"18,367","3,508", 5.2 
PANTAO RAGAT,,"27,866","4,143", 6.7 
POONA PIAGAPO,,"26,970","4,414", 6.1 
SALVADOR,,"31,649","7,028", 4.5 
SAPAD,,"21,309","4,716", 4.5 
TAGOLOAN,,"13,229","2,768", 4.8 
TANGCAL,,"15,178","2,405", 6.3 
TUBOD (Capital),,"46,723","11,092", 4.2 
PANTAR,,"21,773","3,427", 6.4 
,,,,
ILIGAN CITY,,"339,057","76,593", 4.4 
,,,,
MISAMIS OCCIDENTAL,,"599,213","134,870", 4.4 
ALORAN,,"27,566","6,383", 4.3 
BALIANGAO,,"17,092","3,877", 4.4 
BONIFACIO,,"32,345","7,308", 4.4 
CALAMBA,,"21,667","5,052", 4.3 
CLARIN,,"37,396","8,374", 4.5 
CONCEPCION,,"10,913","2,460", 4.4 
JIMENEZ,,"27,565","6,362", 4.3 
LOPEZ JAENA,,"24,997","5,830", 4.3 
OROQUIETA CITY (Capital),,"69,875","16,498", 4.2 
OZAMIS CITY,,"140,648","30,304", 4.6 
PANAON,,"10,181","2,420", 4.2 
PLARIDEL,,"38,843","9,195", 4.2 
SAPANG DALAGA,,"19,926","4,557", 4.4 
SINACABAN,,"18,385","4,146", 4.4 
TANGUB CITY,,"62,795","13,040", 4.8 
TUDELA,,"28,883","6,573", 4.4 
DON VICTORIANO CHIONGBIAN  (DON MARIANO MARCOS),,"10,136","2,491", 4.1 
,,,,
MISAMIS ORIENTAL (excluding CAGAYAN DE ORO CITY),,"884,428","199,020", 4.4 
ALUBIJID,,"29,724","7,743", 3.8 
BALINGASAG,,"66,989","14,790", 4.5 
BALINGOAN,,"11,040","2,320", 4.8 
BINUANGAN,,"7,513","1,556", 4.8 
CLAVERIA,,"48,719","11,085", 4.4 
CITY OF EL SALVADOR,,"50,101","11,940", 4.2 
GINGOOG CITY,,"124,312","26,534", 4.7 
GITAGUM,,"16,352","3,895", 4.2 
INITAO,,"32,159","7,555", 4.3 
JASAAN,,"54,373","12,184", 4.5 
KINOGUITAN,,"14,302","3,046", 4.7 
LAGONGLONG,,"21,623","4,584", 4.7 
LAGUINDINGAN,,"24,400","5,614", 4.3 
LIBERTAD,,"12,349","2,718", 4.5 
LUGAIT,,"19,754","4,650", 4.2 
MAGSAYSAY (LINUGOS),,"34,591","6,985", 5.0 
MANTICAO,,"28,407","6,460", 4.4 
MEDINA,,"32,781","7,145", 4.6 
NAAWAN,,"20,907","4,726", 4.4 
OPOL,,"61,441","14,097", 4.4 
SALAY,,"28,653","6,350", 4.5 
SUGBONGCOGON,,"9,224","1,914", 4.8 
TAGOLOAN,,"72,978","16,999", 4.3 
TALISAYAN,,"24,485","5,391", 4.5 
VILLANUEVA,,"37,251","8,739", 4.3 
,,,,
CAGAYAN DE ORO CITY (Capital),,"670,594","163,239", 4.1 
,,,,
REGION XI (DAVAO REGION),,"4,867,168","1,177,461", 4.1 
,,,,
DAVAO DEL NORTE,,"1,006,888","233,232", 4.3 
ASUNCION (SAUG),,"59,311","13,801", 4.3 
CARMEN,,"74,679","16,743", 4.5 
KAPALONG,,"76,319","17,265", 4.4 
NEW CORELLA,,"54,713","12,403", 4.4 
CITY OF PANABO,,"184,123","42,489", 4.3 
ISLAND GARDEN CITY OF SAMAL,,"104,083","26,245", 4.0 
SANTO TOMAS,,"118,353","26,291", 4.5 
CITY OF TAGUM (Capital),,"257,594","59,989", 4.3 
TALAINGOD,,"27,462","6,142", 4.5 
BRAULIO E. DUJALI,,"23,615","5,404", 4.4 
SAN ISIDRO,,"26,636","6,460", 4.1 
,,,,
DAVAO DEL SUR (excluding DAVAO CITY),,"630,672","158,796", 4.0 
BANSALAN,,"60,408","14,913", 4.1 
CITY OF DIGOS (Capital),,"168,016","41,550", 4.0 
HAGONOY,,"53,295","13,198", 4.0 
KIBLAWAN,,"48,863","13,474", 3.6 
MAGSAYSAY,,"53,839","13,571", 4.0 
MALALAG,,"38,640","10,367", 3.7 
MATANAO,,"56,632","13,861", 4.1 
PADADA,,"26,549","6,915", 3.8 
SANTA CRUZ,,"90,842","22,341", 4.1 
SULOP,,"33,588","8,606", 3.9 
,,,,
DAVAO CITY,,"1,622,427","409,951", 4.0 
,,,,
DAVAO ORIENTAL,,"557,025","128,574", 4.3 
BAGANGA,,"56,133","13,355", 4.2 
BANAYBANAY,,"41,045","9,321", 4.4 
BOSTON,,"13,504","3,216", 4.2 
CARAGA,,"40,297","9,239", 4.4 
CATEEL,,"40,648","9,711", 4.2 
GOVERNOR GENEROSO,,"55,039","12,738", 4.3 
LUPON,,"65,664","15,250", 4.3 
MANAY,,"42,635","9,666", 4.4 
CITY OF MATI (Capital),,"139,932","32,492", 4.3 
SAN ISIDRO,,"35,931","7,821", 4.6 
TARRAGONA,,"26,197","5,765", 4.5 
,,,,
COMPOSTELA VALLEY,,"734,402","169,477", 4.3 
COMPOSTELA,,"87,389","19,104", 4.6 
LAAK (SAN VICENTE),,"73,863","17,537", 4.2 
MABINI (DO„A ALICIA),,"41,045","9,654", 4.3 
MACO,,"80,900","19,175", 4.2 
MARAGUSAN (SAN MARIANO),,"60,754","14,349", 4.2 
MAWAB,,"37,065","8,334", 4.4 
MONKAYO,,"94,658","21,451", 4.4 
MONTEVISTA,,"43,336","10,067", 4.3 
NABUNTURAN (Capital),,"81,973","18,894", 4.3 
NEW BATAAN,,"47,677","11,637", 4.1 
PANTUKAN,,"85,742","19,275", 4.4 
,,,,
DAVAO OCCIDENTAL 9,,"315,754","77,431", 4.1 
DON MARCELINO 10,,"44,539","11,207", 4.0 
JOSE ABAD SANTOS (TRINIDAD) 10,,"76,279","18,117", 4.2 
MALITA 10,,"117,229","28,627", 4.1 
SANTA MARIA 10,,"53,670","13,638", 3.9 
SARANGANI 10,,"24,037","5,842", 4.1 
,,,,
REGION XII (SOCCSKSARGEN),,"4,531,642","1,050,680", 4.3 
,,,,
COTABATO (NORTH COTABATO),,"1,373,962","320,567", 4.3 
ALAMADA,,"64,550","14,993", 4.3 
CARMEN,,"95,865","21,905", 4.4 
KABACAN,,"88,066","20,094", 4.4 
CITY OF KIDAPAWAN (Capital),,"138,479","33,250", 4.2 
LIBUNGAN,,"48,650","11,476", 4.2 
MAGPET,,"49,113","11,181", 4.4 
MAKILALA,,"83,374","19,356", 4.3 
MATALAM,,"79,291","18,816", 4.2 
MIDSAYAP,,"150,831","34,198", 4.4 
M'LANG,,"94,909","23,645", 4.0 
PIGKAWAYAN,,"66,604","15,826", 4.2 
PIKIT,,"154,224","36,099", 4.3 
PRESIDENT ROXAS,,"47,559","10,927", 4.4 
TULUNAN,,"56,465","13,513", 4.2 
ANTIPAS,,"25,304","6,071", 4.2 
BANISILAN,,"43,585","9,649", 4.5 
ALEOSAN,,"39,401","8,845", 4.5 
ARAKAN,,"47,692","10,723", 4.4 
,,,,
SOUTH COTABATO (excluding GENERAL SANTOS CITY),,"912,957","217,944", 4.2 
BANGA,,"83,928","21,100", 4.0 
CITY OF KORONADAL (Capital),,"173,900","42,920", 4.1 
NORALA,,"46,631","10,601", 4.4 
POLOMOLOK,,"152,366","36,720", 4.1 
SURALLAH,,"84,426","20,330", 4.2 
TAMPAKAN,,"39,438","9,444", 4.2 
TANTANGAN,,"43,193","10,396", 4.2 
T'BOLI,,"91,453","21,441", 4.3 
TUPI,,"69,342","16,695", 4.2 
SANTO NI„O,,"40,917","9,719", 4.2 
LAKE SEBU,,"87,363","18,578", 4.7 
,,,,
GENERAL SANTOS CITY (DADIANGAS),,"592,884","144,340", 4.1 
,,,,
SULTAN KUDARAT,,"810,199","184,650", 4.4 
BAGUMBAYAN,,"67,058","15,440", 4.3 
COLUMBIO,,"33,258","8,134", 4.1 
ESPERANZA,,"66,071","15,868", 4.2 
ISULAN (Capital),,"90,083","20,332", 4.4 
KALAMANSIG,,"48,864","10,957", 4.5 
LEBAK,,"88,500","20,388", 4.3 
LUTAYAN,,"62,940","13,092", 4.8 
LAMBAYONG (MARIANO MARCOS),,"76,928","17,815", 4.3 
PALIMBANG,,"90,335","19,121", 4.7 
PRESIDENT QUIRINO,,"41,274","9,966", 4.1 
CITY OF TACURONG,,"98,169","21,814", 4.5 
SEN. NINOY AQUINO,,"46,719","11,723", 4.0 
,,,,
SARANGANI,,"543,417","124,313", 4.4 
ALABEL (Capital),,"79,941","17,929", 4.5 
GLAN,,"118,210","28,366", 4.2 
KIAMBA,,"61,058","13,588", 4.5 
MAASIM,,"59,401","13,260", 4.5 
MAITUM,,"44,516","10,631", 4.2 
MALAPATAN,,"76,891","15,958", 4.8 
MALUNGON,,"103,400","24,581", 4.2 
,,,,
COTABATO CITY,,"298,223","58,866", 5.1 
,,,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),,"3,771,249","620,385", 6.1 
,,,,
BASILAN (excluding CITY OF ISABELA),,"346,288","59,860", 5.8 
CITY OF LAMITAN,,"74,677","15,065", 5.0 
LANTAWAN,,"24,593","4,609", 5.3 
MALUSO,,"40,646","6,294", 6.5 
SUMISIP,,"41,708","7,408", 5.6 
TIPO-TIPO,,"19,063","3,149", 6.1 
TUBURAN,,"20,207","3,239", 6.2 
AKBAR,,"17,531","2,820", 6.2 
AL-BARKA,,"20,842","3,662", 5.7 
HADJI MOHAMMAD AJUL,,"19,307","2,948", 6.5 
UNGKAYA PUKAN,,"18,441","3,095", 6.0 
HADJI MUHTAMAD,,"25,085","3,956", 6.3 
TABUAN-LASA,,"24,188","3,615", 6.7 
,,,,
LANAO DEL SUR,,"1,038,883","160,132", 6.5 
BACOLOD-KALAWI (BACOLOD GRANDE),,"20,841","3,300", 6.3 
BALABAGAN,,"26,797"," 4,769 ", 5.6 
BALINDONG (WATU),,"29,159",4183, 7.0 
BAYANG,,"23,965",3536, 6.8 
BINIDAYAN,,"22,079",3397, 6.5 
BUBONG,,"22,239",3158, 7.0 
BUTIG,,"19,302",3098, 6.2 
GANASSI,,"22,993",3579, 6.4 
KAPAI,,"18,816",2723, 6.9 
LUMBA-BAYABAO (MAGUING),,"36,104",5768, 6.3 
LUMBATAN,,"19,105",2913, 6.6 
MADALUM,,"23,127",3701, 6.2 
MADAMBA,,"17,407",2630, 6.6 
MALABANG,,"43,933",6713, 6.5 
MARANTAO,,"32,847",5083, 6.5 
MARAWI CITY (Capital),,"197,020",29732, 6.6 
MASIU,,"28,958",4316, 6.7 
MULONDO,,"15,986",2246, 7.1 
PAGAYAWAN (TATARIKAN),,"13,139",1833, 7.2 
PIAGAPO,,"25,440",4067, 6.3 
POONA BAYABAO (GATA),,"22,227",3558, 6.2 
PUALAS,,"12,866",2221, 5.8 
DITSAAN-RAMAIN,,"22,253",3227, 6.9 
SAGUIARAN,,"24,539",3646, 6.7 
TAMPARAN,,"25,754",3787, 6.8 
TARAKA,,"23,624",3463, 6.8 
TUBARAN,,"14,726",2317, 6.4 
TUGAYA,,"23,783",3160, 7.5 
WAO,,"45,862",9037, 5.1 
MAROGONG,,"21,295",3030, 7.0 
CALANOGAS,,"13,750",2130, 6.5 
BUADIPOSO-BUNTONG,,"16,130",2529, 6.4 
MAGUING,,"24,520",3738, 6.6 
PICONG (SULTAN GUMANDER),,"16,592",2397, 6.9 
LUMBAYANAGUE,,"16,090",2499, 6.4 
BUMBARAN,,"10,401",1828, 5.7 
TAGOLOAN II,,"11,169",1478, 7.6 
KAPATAGAN,,"15,487",2604, 5.9 
SULTAN DUMALONDONG,,"11,298",1639, 6.9 
LUMBACA-UNAYAN,,"7,260",1099, 6.6 
,,,,
MAGUINDANAO (excluding COTABATO CITY),,"1,172,381","194,507", 6.0 
AMPATUAN,,"24,799"," 3,922 ", 6.3 
BULDON,,"35,195"," 5,542 ", 6.4 
BULUAN,,"49,932"," 7,288 ", 6.9 
DATU PAGLAS,,"28,387"," 4,668 ", 6.1 
DATU PIANG,,"25,510"," 4,184 ", 6.1 
DATU ODIN SINSUAT (DINAIG),,"98,774"," 17,088 ", 5.8 
SHARIFF AGUAK (MAGANOY) (Capital),,"31,447"," 4,812 ", 6.5 
MATANOG,,"29,756"," 4,817 ", 6.2 
PAGALUNGAN,,"39,653"," 6,810 ", 5.8 
PARANG,,"89,143"," 15,307 ", 5.8 
SULTAN KUDARAT (NULING),,"95,193"," 15,652 ", 6.1 
SULTAN SA BARONGIS (LAMBAYONG),,"22,425"," 3,528 ", 6.4 
KABUNTALAN (TUMBAO),,"17,276"," 2,582 ", 6.7 
UPI,,"53,548"," 10,943 ", 4.9 
TALAYAN,,"30,032"," 4,683 ", 6.4 
SOUTH UPI,,"40,111"," 7,562 ", 5.3 
BARIRA,,"30,004"," 4,980 ", 6.0 
GEN. S.K. PENDATUN,,"28,103"," 4,289 ", 6.6 
MAMASAPANO,,"24,778"," 3,933 ", 6.3 
TALITAY,,"14,839"," 2,425 ", 6.1 
PAGAGAWAN,,"34,820"," 5,693 ", 6.1 
PAGLAT,,"15,914"," 2,504 ", 6.4 
SULTAN MASTURA,,"22,221"," 3,864 ", 5.8 
GUINDULUNGAN,,"19,893"," 3,003 ", 6.6 
DATU SAUDI-AMPATUAN,,"26,348"," 4,358 ", 6.0 
DATU UNSAY,,"11,813"," 2,029 ", 5.8 
DATU ABDULLAH SANGKI,,"23,878"," 3,906 ", 6.1 
RAJAH BUAYAN,,"23,652"," 3,770 ", 6.3 
DATU BLAH T. SINSUAT,,"25,024"," 4,080 ", 6.1 
DATU ANGGAL MIDTIMBANG,,"24,799"," 3,844 ", 6.5 
MANGUDADATU,,"25,011"," 3,836 ", 6.5 
PANDAG,,"25,057"," 3,906 ", 6.4 
NORTHERN KABUNTALAN,,"25,232"," 4,222 ", 6.0 
DATU HOFFER AMPATUAN,,"25,012"," 4,308 ", 5.8 
DATU SALIBO,,"14,947"," 2,600 ", 5.7 
SHARIFF SAYDONA MUSTAPHA,,"19,855"," 3,569 ", 5.6 
,,,,
SULU,,"823,983","138,357", 6.0 
INDANAN,,"80,391"," 13,954 ", 5.8 
JOLO (Capital),,"125,419"," 19,443 ", 6.5 
KALINGALAN CALUANG,,"31,567"," 5,548 ", 5.7 
LUUK,,"32,162"," 5,773 ", 5.6 
MAIMBUNG,,"37,914"," 6,480 ", 5.9 
HADJI PANGLIMA TAHIL (MARUNGGAS),,"6,375"," 1,091 ", 5.8 
OLD PANAMAO,,"40,998"," 6,535 ", 6.3 
PANGUTARAN,,"30,613"," 5,589 ", 5.5 
PARANG,,"62,172"," 9,858 ", 6.3 
PATA,,"22,163"," 3,583 ", 6.2 
PATIKUL,,"62,287"," 10,948 ", 5.7 
SIASI,,"67,666"," 12,287 ", 5.5 
TALIPAO,,"80,255"," 12,411 ", 6.5 
TAPUL,,"18,197"," 3,157 ", 5.8 
TONGKIL,,"24,161"," 4,265 ", 5.7 
PANGLIMA ESTINO (NEW PANAMAO),,"28,817"," 4,184 ", 6.9 
LUGUS,,"21,897"," 3,935 ", 5.6 
PANDAMI,,"25,813"," 4,875 ", 5.3 
OMAR,,"25,116"," 4,441 ", 5.7 
,,,,
TAWI-TAWI,,"389,714","67,529", 5.8 
